LabelName,DisplayName
/m/01c80k,Snow goose
/m/01c8br,Street
/m/01c8w0,Conductor
/m/01c979,Designer
/m/01c_0l,"Ducks, geese and swans"
/m/01c_9j,Quarry
/m/01cbb3,Beet
/m/01cbzq,Rock
/m/01cch6,Potato salad
/m/01cct5,Snipe
/m/01cd9,Brand
/m/01cfkh,Remora
/m/01cgz,Boxing
/m/01chb8,Nowruz
/m/01chy,Bowls
/m/01cj38,Northern Harrier
/m/01cjsf,Kite (Bird)
/m/01ck7x,Budgie
/m/01ckgp,Interaction
/m/01cmb2,Miniskirt
/m/01cmcs,Hatchback
/m/01cmft,Spotting scope
/m/01cmm2,Monocular
/m/01cndb,Stationery
/m/01cnz,Birth control
/m/01cp1t,Douglas Aircraft Company
/m/01cppc,Bird migration
/m/01cq1t,Listed building
/m/01cqy9,Bivalve
/m/01crm0,Atlantic puffin
/m/01crnh,"Meal, ready-to-eat"
/m/01crps,Satay
/m/01crzf,Waxwing
/m/01cs49,Cottage pie
/m/01cs50,Costa Rican cuisine
/m/01cs_p,Marina
/m/01csdn,Smörgåsbord
/m/01ctqy,F-111 aardvark
/m/01ctry,Atmosphere of earth
/m/01ctsf,Atmosphere
/m/01cv4r,Temperate coniferous forest
/m/01cv98,Temperate broadleaf and mixed forest
/m/01cv9m,Tropical and subtropical coniferous forests
/m/01cvx,Baptism
/m/01cw97,Pemmican
/m/01cwd,Bocce
/m/01cwty,Hub gear
/m/01cx7t,High-visibility clothing
/m/01cx_v,Chesapeake bay retriever
/m/01cxh7,Transporter bridge
/m/01cxvn,Bioluminescence
/m/01cypm,Khene
/m/01cytr,Kia motors
/m/01cz1z,Cloudberry
/m/01cz4w,Bilberry
/m/01czv3,Fortification
/m/01d07t,Photographic paper
/m/01d0z1,Shorebird
/m/01d146,Lockheed ep-3
/m/01d1dj,Coupé
/m/01d1vk,Grumman c-2 greyhound
/m/01d1wc,Northrop grumman ea-6b prowler
/m/01d2_z,Wind turbine
/m/01d2nt,Wisteria
/m/01d30f,Teacher
/m/01d380,Drill (Tool)
/m/01d3bp,Sandpiper
/m/01d3ry,Tortilla de patatas
/m/01d40f,Dress
/m/01d4b2,Jack-o'-lantern
/m/01d5g,Batman
/m/01d64p,Accipitriformes
/m/01d743,Package delivery
/m/01d74z,Night
/m/01d7fl,Jack russell terrier
/m/01d7mc,Black and tan coonhound
/m/01d7ng,Pelecaniformes
/m/01d7qq,Coonhound
/m/01d7rt,Differential
/m/01d8ql,Rallidae
/m/01d991,Bustard
/m/01d9ll,Astronomical object
/m/01d9xk,Honeysuckle family
/m/01d_ff,Toe
/m/01d_h8,Film producer
/m/01d_rv,Mämmi
/m/01d_tk,Emberizidae
/m/01d_xw,National monument
/m/01dc9n,Chapman stick
/m/01dcsz,Lancashire hotpot
/m/01dctq,Poi (Food)
/m/01dd0y,Copepod
/m/01dd1s,Acrobatics
/m/01dd25,First aid kit
/m/01dd3,Boomerang
/m/01ddb4,Brazilian jiu-jitsu
/m/01ddcs,Building sand castles
/m/01ddm,Bodybuilding
/m/01df5p,Cuckoo
/m/01dfh8,Nuclear power plant
/m/01dfry,Loggerhead Shrike
/m/01dgb6,Palm wine
/m/01dggx,Hatmaking
/m/01dgnd,American legless lizard
/m/01dgwv,Bug
/m/01dgzv,Spiral galaxy
/m/01dh_p,Black seabass
/m/01dhjg,Ten-pin bowling
/m/01dj7,Beagle
/m/01dj8g,Klondyked Herring
/m/01djxm,Meerkat
/m/01dk8s,Powdered sugar
/m/01dk9h,Habanero chili
/m/01dl1f,Capo
/m/01dl3j,Banknote
/m/01dl9r,Cormorant
/m/01dnv_,Bağlama
/m/01dnws,Bouzouki
/m/01dp1q,Armored cruiser
/m/01dp3n,Protected cruiser
/m/01dp9q,Touch football
/m/01dq4q,Coraciiformes
/m/01dqkc,Pest
/m/01dqy5,Cedar Waxwing
/m/01drpv,Ananas
/m/01drwh,Bandoneon
/m/01dts_,Laotian cuisine
/m/01dttb,Glutinous rice
/m/01dv4h,Portrait
/m/01dv7j,Schipperke
/m/01dvt,Northrop grumman b-2 spirit
/m/01dvt1,Joint
/m/01dw5z,Swallow
/m/01dw9,Beaver
/m/01dws,Bear
/m/01dwsz,Waffle
/m/01dwwc,Pancake
/m/01dwxx,Gull
/m/01dwzq,Fatback
/m/01dx8,Bald eagle
/m/01dx9s,Whey
/m/01dxlg,Monitor
/m/01dxs,Brown bear
/m/01dy09,Tern
/m/01dy1v,Skua
/m/01dy62,Phasianidae
/m/01dy8n,Woodpecker
/m/01dys,Biathlon
/m/01dzm,Bubble and squeak
/m/01dzzz,Mahi Mahi
/m/01f0r6,Megaphone
/m/01f0yy,Mechanical puzzle
/m/01f0zq,Mongoose
/m/01f10d,North american xb-70 valkyrie
/m/01f116,Crypt
/m/01f1n4,Barista
/m/01f235,Baguazhang
/m/01f2hr,Stunt
/m/01f2sl,Power station
/m/01f3p,Base jumping
/m/01f3v2,Ghee
/m/01f415,Flame
/m/01f43,Beauty
/m/01f4cc,Manicure
/m/01f4g6,Cod liver oil
/m/01f4qx,Lesser celandine
