LabelName,DisplayName,wikidata,aat
/m/0g60ff,Manta mirage,https://www.wikidata.org/entity/Q31837299,
/m/0g61v,Spanish missions in california,https://www.wikidata.org/entity/Q1824509,
/m/0g65_,Adventure game,https://www.wikidata.org/entity/Q23916,
/m/0g678v,Tafelspitz,https://www.wikidata.org/entity/Q250875,
/m/0g69j1,Ploye,https://www.wikidata.org/entity/Q7205199,
/m/0g6b5,Fireworks,https://www.wikidata.org/entity/Q127933,http://vocab.getty.edu/page/aat/300249832
/m/0g6cxh,Qvale mangusta,,
/m/0g6dw1,Ford vedette,,
/m/0g6hmn,Simca ariane,,
/m/0g6yn,Pledge of allegiance,https://www.wikidata.org/entity/Q875611,
/m/0g71w,Disc brake,https://www.wikidata.org/entity/Q755174,
/m/0g74j1,Austin kimberley,,
/m/0g7961,Canjica (Dish),https://www.wikidata.org/entity/Q10330033,
/m/0g7dk,Crocus,https://www.wikidata.org/entity/Q157806,
/m/0g7fqt,Split pea,https://www.wikidata.org/entity/Q2265406,
/m/0g7kcd,Curing,https://www.wikidata.org/entity/Q353374,
/m/0g7kq4,Israeli passport,https://www.wikidata.org/entity/Q1268267,
/m/0g7my,Superbike racing,https://www.wikidata.org/entity/Q1902630,
/m/0g7pjm,Mazda cx-5,,
/m/0g7v8f,Bicycle saddle,https://www.wikidata.org/entity/Q1076532,
/m/0g7vq,Fetish model,https://www.wikidata.org/entity/Q8193763,
/m/0g7xf,Broom,https://www.wikidata.org/entity/Q172833,http://vocab.getty.edu/page/aat/300024758
/m/0g7zz1,Malawach,https://www.wikidata.org/entity/Q96247306,
/m/0g83r6,Fringed polygala,https://www.wikidata.org/entity/Q17468666,
/m/0g84nh,Lighthouse keeper,https://www.wikidata.org/entity/Q1766113,http://vocab.getty.edu/page/aat/300251969
/m/0g88bf,South african passport,https://www.wikidata.org/entity/Q1273893,
/m/0g8cpb,Honda civic gx,,
/m/0g8dtg,Very large floating structure,https://www.wikidata.org/entity/Q7923094,
/m/0g8g8q,Eupomatia laurina,https://www.wikidata.org/entity/Q2909527,
/m/0g8n6t1,Stevia rebaudiana,https://www.wikidata.org/entity/Q7213452,
/m/0g8ncfr,Julia child rose,https://www.wikidata.org/entity/Q17142854,
/m/0g8p9,Farm,https://www.wikidata.org/entity/Q5433334,
/m/0g8wqj,Sayur asem,https://www.wikidata.org/entity/Q2457455,
/m/0g8zzm,Land windsurfing,,
/m/0g91zf,Liquid bubble,https://www.wikidata.org/entity/Q95695210,
/m/0g97tv,Bush bread,https://www.wikidata.org/entity/Q1017266,
/m/0g9chh,Daimler majestic,,
/m/0g9ctt,Leopard's bane,,
/m/0g9fr1,Nikuman,https://www.wikidata.org/entity/Q1137679,
/m/0g9ky,Wallflower,https://www.wikidata.org/entity/Q165206,
/m/0g9lh8,Fishing float,https://www.wikidata.org/entity/Q1500696,http://vocab.getty.edu/page/aat/300256941
/m/0g9lp,Pheasant,https://www.wikidata.org/entity/Q214169,
/m/0g9n5w,Wings,https://www.wikidata.org/entity/Q161358,http://vocab.getty.edu/page/aat/300375053
/m/0g9q4k,Simca 1300/1500,,
/m/0g9q69,Cozido,https://www.wikidata.org/entity/Q3312252,
/m/0g9t3r,Syzygium malaccense,https://www.wikidata.org/entity/Q31936,
/m/0g9vs81,Steamed rice,,
/m/0g9wjzr,Egyptian temple,https://www.wikidata.org/entity/Q855747,
/m/0g9x5c5,Chevrolet cosworth vega,,
/m/0g9x9pj,Big hole bead,,
/m/0g9xsry,Pagani huayra,,
/m/0g9yjp0,Solar vehicle,https://www.wikidata.org/entity/Q1136730,
/m/0g9zf05,Bun cha,https://www.wikidata.org/entity/Q50634,
/m/0g9zwhj,Types of volcanic eruptions,,
/m/0g_3r,Siamese,https://www.wikidata.org/entity/Q42604,http://vocab.getty.edu/page/aat/300265952
/m/0g_d7,Bodhrán,https://www.wikidata.org/entity/Q244976,http://vocab.getty.edu/page/aat/300215082
/m/0g_fz2,Paleta frontón,https://www.wikidata.org/entity/Q6135299,
/m/0g_h2,Clap skate,https://www.wikidata.org/entity/Q1744388,
/m/0g_k0,Mass production,https://www.wikidata.org/entity/Q215768,http://vocab.getty.edu/page/aat/300066040
/m/0g_npb,Pachadi,https://www.wikidata.org/entity/Q17081227,
/m/0g_rg,R2-d2,https://www.wikidata.org/entity/Q51788,
/m/0g_sv,C-3po,https://www.wikidata.org/entity/Q51787,
/m/0g_tb,Yoda,https://www.wikidata.org/entity/Q51730,
/m/0g_wpz,Zosui,https://www.wikidata.org/entity/Q2625025,
/m/0gb8c,Monkshood,https://www.wikidata.org/entity/Q155904,
/m/0gbbt,Bassist,https://www.wikidata.org/entity/Q584301,http://vocab.getty.edu/page/aat/300235037
/m/0gbnk8,Toad lily,https://www.wikidata.org/entity/Q2716935,
/m/0gbprb,Matra bagheera,,
/m/0gbxf2,Harbin y-11,https://www.wikidata.org/entity/Q3266828,
/m/0gc2g1,American painted lady,https://www.wikidata.org/entity/Q1590841,
/m/0gc319,Caipiroska,https://www.wikidata.org/entity/Q2206588,
/m/0gccln,Ford model a (1903-1904),,
/m/0gccmf,Ford model a (1927-1931),,
/m/0gcddm,Ford model b,,
/m/0gcfml,Water Oak,https://www.wikidata.org/entity/Q4112855,
/m/0gcg14,Ford model 48,,
/m/0gcjz1,Armenian food,,
/m/0gcr65,National grandparents day,https://www.wikidata.org/entity/Q715459,
/m/0gcrw,Sichuan pepper,https://www.wikidata.org/entity/Q756800,
/m/0gcwv3,Veratrum,,
/m/0gcy3w,1937 ford,https://www.wikidata.org/entity/Q4564024,
/m/0gd00,Dugong,https://www.wikidata.org/entity/Q129544,http://vocab.getty.edu/page/aat/300258401
/m/0gd0jz,Opel admiral,,
/m/0gd1z,California sea lion,https://www.wikidata.org/entity/Q379732,
/m/0gd2v,Marine mammal,https://www.wikidata.org/entity/Q382441,
