LabelName,DisplayName,wikidata,aat,iconclass
/m/05tnk8,Toyota carina,,,
/m/05tnl1,Toyota allion,,,
/m/05tpff,Lancia 037,,,
/m/05tr1r,Athletic trainer,https://www.wikidata.org/entity/Q755620,,
/m/05trfx,Cooter,https://www.wikidata.org/entity/Q5168108,,
/m/05trn7,Florida Redbelly Turtle,https://www.wikidata.org/entity/Q175696,,
/m/05trrf,Hazmat suit,https://www.wikidata.org/entity/Q1641373,,
/m/05ts1c,Peel p50,,,
/m/05tsfr,Grape hyacinth,https://www.wikidata.org/entity/Q161151,,
/m/05tsgk,Mimosa tenuiflora,,,
/m/05twdh,Submarine canyon,https://www.wikidata.org/entity/Q963729,http://vocab.getty.edu/page/aat/300386929,
/m/05tz5y,Doghouse,https://www.wikidata.org/entity/Q1994782,http://vocab.getty.edu/page/aat/300004984,
/m/05v17t,Bight,https://www.wikidata.org/entity/Q4906965,,
/m/05v1q7,Red meat,https://www.wikidata.org/entity/Q3243069,,
/m/05v2t3,Sufganiyah,https://www.wikidata.org/entity/Q2599893,,
/m/05v3t6,American mastiff,,,
/m/05v3y4,Isuzu oasis,,,
/m/05v4tn,Lekvar,https://www.wikidata.org/entity/Q5506394,,
/m/05v67qc,Quiche lorraine,,,
/m/05v6844,Green pea risotto,,,
/m/05v684b,Minted peas,,,
/m/05v6869,Creamed spinach,,,
/m/05v687l,Baked sweet potato,,,
/m/05v6cdn,Rye flour,https://www.wikidata.org/entity/Q12099,,
/m/05v6wv,Airheads,https://www.wikidata.org/entity/Q4697660,,
/m/05v9p8,Cooler,https://www.wikidata.org/entity/Q1976332,,
/m/05v_4b,College softball,https://www.wikidata.org/entity/Q5146908,,
/m/05v_tz,Dog scootering,,,
/m/05vgdn,Tofu skin,https://www.wikidata.org/entity/Q2141977,,
/m/05vjqp,African food,https://www.wikidata.org/entity/Q386284,,
/m/05vk9d,Opel diplomat,,,
/m/05vkq5,Campdrafting,https://www.wikidata.org/entity/Q12054124,,
/m/05vl39,Gristmill,https://www.wikidata.org/entity/Q623605,http://vocab.getty.edu/page/aat/300006286,
/m/05vlpz,Honda z,,,
/m/05vtc,Potato,https://www.wikidata.org/entity/Q10998,,
/m/05vtr_,Mercedes-benz w120,,,
/m/05vtv3,Mercedes-benz w114,,,
/m/05vtvh,Mercedes-benz w123,,,
/m/05vtvw,Mercedes-benz w124,https://www.wikidata.org/entity/Q1511429,,
/m/05vv1c,Feather boa,https://www.wikidata.org/entity/Q887471,http://vocab.getty.edu/page/aat/300215870,
/m/05vvpw,Folkrace,https://www.wikidata.org/entity/Q4413009,,
/m/05vxpt,Shoe tree,https://www.wikidata.org/entity/Q63185053,,
/m/05vyk,Pianist,https://www.wikidata.org/entity/Q486748,http://vocab.getty.edu/page/aat/300235018,
/m/05vz5j,Mercedes-benz r107 and c107,,,
/m/05vz79,Mercedes-benz r129,,,
/m/05w01x,Mercedes-benz w219,,,
/m/05w0bm,Folder,https://www.wikidata.org/entity/Q2429918,http://vocab.getty.edu/page/aat/300197602,
/m/05w0sv,Daewoo nubira,,,
/m/05w1cy,Peugeot 203,,,
/m/05w271,Naranjilla,https://www.wikidata.org/entity/Q795069,,
/m/05w3m6,Sadya,https://www.wikidata.org/entity/Q3595351,,
/m/05w4f,Perciformes,,,
/m/05w4y,Pawpaw,https://www.wikidata.org/entity/Q412169,,
/m/05w55l,Nissan gazelle,,,
/m/05w5gm,Side cap,https://www.wikidata.org/entity/Q645919,http://vocab.getty.edu/page/aat/300046097,
/m/05w5k3,Liberty spikes,https://www.wikidata.org/entity/Q6542211,,
/m/05w5xh,Nissan cima,,,
/m/05w8kb,Pneumatic tool,https://www.wikidata.org/entity/Q3635139,http://vocab.getty.edu/page/aat/300111544,
/m/05w9t9,Hair spray,https://www.wikidata.org/entity/Q1058689,,
/m/05w9z,Blowfish,https://www.wikidata.org/entity/Q7258872,,
/m/05w_n7,Cashew chicken,https://www.wikidata.org/entity/Q5048739,,
/m/05wb76,Tang soo do,https://www.wikidata.org/entity/Q219556,,
/m/05wd2g,Daewoo lacetti,,,
/m/05wg_1,Cessna 402,https://www.wikidata.org/entity/Q1057203,,
/m/05wgwh,Sweetness,https://www.wikidata.org/entity/Q460453,,
/m/05wgx5,Dip,https://www.wikidata.org/entity/Q2046560,,
/m/05wgy,Pediatrics,https://www.wikidata.org/entity/Q123028,,http://www.iconclass.org/rkd/49G64/
/m/05wkw,Photography,https://www.wikidata.org/entity/Q11633,http://vocab.getty.edu/page/aat/300054225,http://www.iconclass.org/rkd/48C61/
/m/05wlmq,Mercury colony park,,,
/m/05wn0,Pump,https://www.wikidata.org/entity/Q134574,,http://www.iconclass.org/rkd/41A3912/
/m/05wqv,Parish,https://www.wikidata.org/entity/Q102496,,
/m/05wrt,Property,https://www.wikidata.org/entity/Q1400881,http://vocab.getty.edu/page/aat/300055588,
/m/05ws7,Police,https://www.wikidata.org/entity/Q35535,,http://www.iconclass.org/rkd/44G22/
/m/05ww27,Temper tantrum,https://www.wikidata.org/entity/Q1648544,,
/m/05wy2,Gasoline,https://www.wikidata.org/entity/Q39558,http://vocab.getty.edu/page/aat/300013003,
/m/05wz1,Propane,https://www.wikidata.org/entity/Q131189,http://vocab.getty.edu/page/aat/300013010,
/m/05x156,Nacatamal,https://www.wikidata.org/entity/Q1962115,,
/m/05x3jb,Downhill mountain biking,https://www.wikidata.org/entity/Q672066,,
/m/05x3lk,Opel olympia,,,
/m/05x515,Terminalia catappa,https://www.wikidata.org/entity/Q271179,,
/m/05x611,Tofurkey,https://www.wikidata.org/entity/Q7813019,,
/m/05x6d2,Fishfinder,https://www.wikidata.org/entity/Q5454976,,
/m/05x6th,Recital,,,
/m/05x6xs,Maserati 3200 gt,,,
/m/05x83x,Ford elite,,,
/m/05x_0h,Sea eagle,https://www.wikidata.org/entity/Q147403,,
/m/05x_6l,Western conifer seed bug,https://www.wikidata.org/entity/Q468719,,
/m/05xh2,Pyramid,https://www.wikidata.org/entity/Q12516,http://vocab.getty.edu/page/aat/300004838,
/m/05xhgh,Haw flakes,https://www.wikidata.org/entity/Q995997,,
/m/05xjb,Priest,https://www.wikidata.org/entity/Q42603,http://vocab.getty.edu/page/aat/300025774,
/m/05xjkg,Infiniti qx70,,,
/m/05xkk1,Graphics software,https://www.wikidata.org/entity/Q868410,,
/m/05xknm,Pallone,https://www.wikidata.org/entity/Q1055193,,
/m/05xl0b,Canada columbine,https://www.wikidata.org/entity/Q7305305,,
/m/05xlb1,Korean royal court cuisine,https://www.wikidata.org/entity/Q910026,,
/m/05xlqv,Cullen skink,https://www.wikidata.org/entity/Q613665,,
/m/05xmk0,Red bugs,,,
/m/05xnqg,Street food,https://www.wikidata.org/entity/Q1316209,,
/m/05xsvq,Channel Catfish,https://www.wikidata.org/entity/Q836957,,
/m/05xt4,Propeller (Fan),https://www.wikidata.org/entity/Q205451,http://vocab.getty.edu/page/aat/300212833,
/m/05xwg,Pokémon,https://www.wikidata.org/entity/Q864,,
/m/05xxf0,Mud wrestling,https://www.wikidata.org/entity/Q1747884,,
/m/05xyb,Platypus,https://www.wikidata.org/entity/Q15343,,
/m/05xzfh,Eritrean cuisine,https://www.wikidata.org/entity/Q846275,,
/m/05y05k,Shoe polish,https://www.wikidata.org/entity/Q913617,http://vocab.getty.edu/page/aat/300375382,
/m/05y0x,Pilgrimage,https://www.wikidata.org/entity/Q1644573,http://vocab.getty.edu/page/aat/300069279,
/m/05y18l,Cicely,https://www.wikidata.org/entity/Q16863084,,
/m/05y1k_,Shack,https://www.wikidata.org/entity/Q6502413,,
/m/05y1s1,Common rue,https://www.wikidata.org/entity/Q25062,,
/m/05y236,New guinea singing dog,https://www.wikidata.org/entity/Q38884,,
/m/05y37l,Chokladboll,https://www.wikidata.org/entity/Q595744,,
/m/05y3z,Pluot,https://www.wikidata.org/entity/Q2722924,,
/m/05y4t,Paint,https://www.wikidata.org/entity/Q174219,http://vocab.getty.edu/page/aat/300015029,
/m/05y5kt,Texas toast,https://www.wikidata.org/entity/Q17108835,,
/m/05y5lj,Sports equipment,https://www.wikidata.org/entity/Q768186,,
/m/05y5lx,Maremma sheepdog,https://www.wikidata.org/entity/Q21074,,
/m/05y5rb,Harira,https://www.wikidata.org/entity/Q1513612,,
/m/05y6jx,Eastern tent caterpillar,https://www.wikidata.org/entity/Q2407561,,
/m/05y929,Kia sorento,,,
/m/05y_mz,Brochure,,,
/m/05y_qt,Missile boat,https://www.wikidata.org/entity/Q843215,,
/m/05ybr2,Black cherry,https://www.wikidata.org/entity/Q158987,http://vocab.getty.edu/page/aat/300375309,
/m/05ybt9,Ford exp,,,
/m/05yc5f,Bugatti type 13,,,
/m/05ycq0,Bugatti type 35,,,
/m/05yd1s,Bugatti type 51,,,
/m/05yf34,Bugatti type 18,,,
/m/05yfr9,Bugatti royale,,,
/m/05yfzw,Bugatti type 46,,,
/m/05yg07,Bugatti type 55,,,
/m/05yg8t,Bugatti type 101,,,
/m/05ygf_,Bugatti type 32,,,
/m/05ykl4,Ornament,https://www.wikidata.org/entity/Q1704480,,
/m/05yl0x,Atlantic spanish mackerel,https://www.wikidata.org/entity/Q311047,,
/m/05ymq6,Cessna 210,https://www.wikidata.org/entity/Q1057193,,
/m/05ymtc,Moonflower,https://www.wikidata.org/entity/Q133294,,
/m/05ynpt,Sangharaja,https://www.wikidata.org/entity/Q3368850,,
/m/05yqgq,Twine,https://www.wikidata.org/entity/Q762984,http://vocab.getty.edu/page/aat/300014251,
/m/05yr0_d,Oatmeal-raisin cookies,,,
/m/05yr18_,Unsalted butter,https://www.wikidata.org/entity/Q34172,http://vocab.getty.edu/page/aat/300389819,http://www.iconclass.org/rkd/41C6411/
/m/05yr1lg,All-purpose flour,,,
/m/05yrmc,Casuarina,,,
/m/05yry0,Figwort,,,
/m/05ytjt,Hyundai equus,,,
/m/05yw0t,Ivy gourd,https://www.wikidata.org/entity/Q727330,,
/m/05ywz5,Colorado River Toad,https://www.wikidata.org/entity/Q10534901,,
/m/05yz00,Powerboating,https://www.wikidata.org/entity/Q1545308,,
/m/05z0dz,Ammunition belt,https://www.wikidata.org/entity/Q227077,,
/m/05z23t,Crown vetch,https://www.wikidata.org/entity/Q158908,,
/m/05z2dr,Kiswah,https://www.wikidata.org/entity/Q1511204,http://vocab.getty.edu/page/aat/300215207,
/m/05z2r1,Mitsubishi challenger,,,
/m/05z3sd,Butterfat,https://www.wikidata.org/entity/Q909729,,
/m/05z4v0,Rockfall,https://www.wikidata.org/entity/Q5654036,http://vocab.getty.edu/page/aat/300386869,
/m/05z55,Pasta,https://www.wikidata.org/entity/Q178,http://vocab.getty.edu/page/aat/300265413,
/m/05z6w,Penguin,https://www.wikidata.org/entity/Q9147,http://vocab.getty.edu/page/aat/300251998,
/m/05z86m,Lancashire heeler,https://www.wikidata.org/entity/Q37972,,
/m/05z87,Plastic,https://www.wikidata.org/entity/Q11474,http://vocab.getty.edu/page/aat/300014570,
/m/05z8_k,West indian gherkin,https://www.wikidata.org/entity/Q2349096,,
/m/05z8jf,Shikoku,https://www.wikidata.org/entity/Q13991,,
/m/05z_lpk,Nissan homy,,,
/m/05z_n2,Chevrolet captiva,,,
/m/05z_qbh,Tololoche,https://www.wikidata.org/entity/Q7814483,,
/m/05zbxg,Winter savory,https://www.wikidata.org/entity/Q160186,,
/m/05zc1,Pulley,https://www.wikidata.org/entity/Q48378,http://vocab.getty.edu/page/aat/300024574,
/m/05zdp,Public transport,https://www.wikidata.org/entity/Q178512,http://vocab.getty.edu/page/aat/300155835,
/m/05zdsq,Desert Palm,https://www.wikidata.org/entity/Q158389,,
/m/05zffl,Ford comète,,,
/m/05zg44,Nissan cube,,,
/m/05zgr4,Sustain pedal,https://www.wikidata.org/entity/Q2320883,,
/m/05zhpx,Marine corps martial arts program,https://www.wikidata.org/entity/Q6764108,,
/m/05zhrn,Liquorice,https://www.wikidata.org/entity/Q257106,,
/m/05zhy0t,Dorset olde tyme bulldogge,,,
/m/05zjy6_,Lloyd lt 500,,,
/m/05zk_h_,Nasi kuning,https://www.wikidata.org/entity/Q3269818,,
/m/05zkhv_,Serabi,https://www.wikidata.org/entity/Q5162437,,
/m/05zl1rr,Palamedes Swallowtail,https://www.wikidata.org/entity/Q148301,,
