LabelName,DisplayName,wikidata,aat,iconclass,entity_collection
/m/03l8b8,Chrysler imperial parade phaeton,,,,
/m/03l8v3,Buick rainier,,,,
/m/03l8vg,Oldsmobile bravada,,,,
/m/03l9g,Hammer,https://www.wikidata.org/entity/Q25294,http://vocab.getty.edu/page/aat/300024823,http://www.iconclass.org/rkd/47D8(HAMMER)/,
/m/03lbny,Black throated Gray Warbler,https://www.wikidata.org/entity/Q3176524,,,
/m/03lbvs,Eastern european food,https://www.wikidata.org/entity/Q12672014,,,
/m/03lc6z,Hindustan ambassador,,,,
/m/03lc9n,Amc ambassador,,,,
/m/03lc_4,Mercury montego,,,,
/m/03lc_v,Ford freestyle,,,,
/m/03lcgp,Balut,https://www.wikidata.org/entity/Q341020,,,
/m/03lcss,Lycaenid,https://www.wikidata.org/entity/Q158717,,,
/m/03ld1p,Mercury grand marquis,,,,
/m/03ld20,Mercury marauder,,,,
/m/03ldnb,Ceiling fan,https://www.wikidata.org/entity/Q1181944,http://vocab.getty.edu/page/aat/300375263,,
/m/03ldyd,Pozole,https://www.wikidata.org/entity/Q515692,,,
/m/03lfn5,Kettle (Geology),https://www.wikidata.org/entity/Q107444,http://vocab.getty.edu/page/aat/300195349,,
/m/03lfny,Bmw 3 series (e21),,,,
/m/03lfpq,Bmw 6 series (e24),,,,
/m/03lfqt,Bmw 3 series (e30),,,,
/m/03lfs8,Bmw 3 series (e36),,,,
/m/03lfsn,Bmw 3 series (e46),,,,
/m/03lftc,Bmw 3 series (e90),,,,
/m/03lfyh,Bmw x5 (e53),,,,
/m/03lgft,Zedoary,,,,
/m/03lh85,Kickball,https://www.wikidata.org/entity/Q1154146,,,
/m/03lhdv,Crab soccer,https://www.wikidata.org/entity/Q5180247,,,
/m/03ljvf,Grove,https://www.wikidata.org/entity/Q246427,,,
/m/03ljw4,Townsend's Warbler,https://www.wikidata.org/entity/Q512543,,,
/m/03lkx5,Stickball,https://www.wikidata.org/entity/Q5354472,,,
/m/03lkyr,Wine raspberry,https://www.wikidata.org/entity/Q8024944,,,
/m/03lkz3,Opel tigra,,,,
/m/03ll3h,Dodge disc,,,,
/m/03llnc,Penne alla vodka,https://www.wikidata.org/entity/Q7163401,,,
/m/03llnq,Land rover discovery,,,,
/m/03llr3,Land rover freelander,,,,
/m/03llrw,Land rover defender,,,,
/m/03lnq3,Keychain,https://www.wikidata.org/entity/Q51338,,,
/m/03lnt,Hang gliding,https://www.wikidata.org/entity/Q208147,,,
/m/03lnzv,Calabaza,https://www.wikidata.org/entity/Q5347761,,,
/m/03lp1_,Calabash,https://www.wikidata.org/entity/Q1277255,http://vocab.getty.edu/page/aat/300435296,,
/m/03lq2,Halloween,https://www.wikidata.org/entity/Q251868,,,
/m/03lr77,Jaguar xjs,,,,
/m/03ltt3,Turkish delight,https://www.wikidata.org/entity/Q182339,,,
/m/03lvx3,Pipe wrench,https://www.wikidata.org/entity/Q9654942,http://vocab.getty.edu/page/aat/300024769,,
/m/03ly4k,Middle eastern food,https://www.wikidata.org/entity/Q1547037,,,
/m/03lz8t,Juggling club,https://www.wikidata.org/entity/Q1543881,,,
/m/03lzkv,Cantilever bridge,https://www.wikidata.org/entity/Q1429218,http://vocab.getty.edu/page/aat/300007845,http://www.iconclass.org/rkd/46C11212/,
/m/03m0_6,Schnauzer,https://www.wikidata.org/entity/Q38421,,,
/m/03m1c2,Bouncer,https://www.wikidata.org/entity/Q895139,,,
/m/03m283,Pakora,https://www.wikidata.org/entity/Q1126275,,,
/m/03m2nk,Jewel beetles,,,,
/m/03m2vb,Chevrolet citation,,,,
/m/03m3lz,Grappa,https://www.wikidata.org/entity/Q693078,,,
/m/03m3mgq,Computer scientist,https://www.wikidata.org/entity/Q82594,http://vocab.getty.edu/page/aat/300236481,,
